Sentences,Processed Sentences,Entity_Relations
Alec Radford *,Alec Radford,[]
1 Jong Wook Kim *,1 Jong Wook Kim,"[('1', 'Kim', 'Jong Wook Kim')]"
1 Chris Hallacy 1,1 Chris Hallacy 1,"[('1', 'Hallacy', 'Chris Hallacy'), ('1', 'Hallacy', '1'), ('Chris Hallacy', 'Hallacy', '1')]"
"Aditya Ramesh 1 Gabriel Goh 1 Sandhini Agarwal 1
Girish Sastry 1 Amanda Askell 1 Pamela Mishkin 1 Jack Clark 1","Aditya Ramesh 1 Gabriel Goh 1 Sandhini Agarwal 1
Girish Sastry 1 Amanda Askell 1 Pamela Mishkin 1 Jack Clark 1","[('Aditya Ramesh', 'Ramesh', 'Gabriel Goh 1 Sandhini Agarwal 1\nGirish Sastry'), ('Aditya Ramesh', 'Ramesh', '1'), ('Aditya Ramesh', 'Ramesh', 'Amanda Askell'), ('Aditya Ramesh', 'Ramesh', 'Pamela Mishkin'), ('Aditya Ramesh', 'Ramesh', 'Jack Clark'), ('Aditya Ramesh', 'Ramesh', '1'), ('Gabriel Goh 1 Sandhini Agarwal 1\nGirish Sastry', 'Ramesh', '1'), ('Gabriel Goh 1 Sandhini Agarwal 1\nGirish Sastry', 'Ramesh', 'Amanda Askell'), ('Gabriel Goh 1 Sandhini Agarwal 1\nGirish Sastry', 'Ramesh', 'Pamela Mishkin'), ('Gabriel Goh 1 Sandhini Agarwal 1\nGirish Sastry', 'Ramesh', 'Jack Clark'), ('Gabriel Goh 1 Sandhini Agarwal 1\nGirish Sastry', 'Ramesh', '1'), ('1', 'Ramesh', 'Amanda Askell'), ('1', 'Ramesh', 'Pamela Mishkin'), ('1', 'Ramesh', 'Jack Clark'), ('1', 'Ramesh', '1'), ('Amanda Askell', 'Ramesh', 'Pamela Mishkin'), ('Amanda Askell', 'Ramesh', 'Jack Clark'), ('Amanda Askell', 'Ramesh', '1'), ('Pamela Mishkin', 'Ramesh', 'Jack Clark'), ('Pamela Mishkin', 'Ramesh', '1'), ('Jack Clark', 'Ramesh', '1')]"
"Gretchen Krueger 1 Ilya Sutskever 1

1
2
0
2

b
e
F
6
2

]

V
C
.
","Gretchen Krueger 1 Ilya Sutskever 1
1
2
0
2
b
e
F
6
2
 
V
C","[('Gretchen Krueger 1 Ilya', 'Krueger', 'Sutskever'), ('Gretchen Krueger 1 Ilya', 'Krueger', '1'), ('Gretchen Krueger 1 Ilya', 'Krueger', '1'), ('Gretchen Krueger 1 Ilya', 'Krueger', '2'), ('Gretchen Krueger 1 Ilya', 'Krueger', '0'), ('Gretchen Krueger 1 Ilya', 'Krueger', '2'), ('Gretchen Krueger 1 Ilya', 'Krueger', '6'), ('Gretchen Krueger 1 Ilya', 'Krueger', '2'), ('Sutskever', 'Krueger', '1'), ('Sutskever', 'Krueger', '1'), ('Sutskever', 'Krueger', '2'), ('Sutskever', 'Krueger', '0'), ('Sutskever', 'Krueger', '2'), ('Sutskever', 'Krueger', '6'), ('Sutskever', 'Krueger', '2'), ('1', 'Krueger', '1'), ('1', 'Krueger', '2'), ('1', 'Krueger', '0'), ('1', 'Krueger', '2'), ('1', 'Krueger', '6'), ('1', 'Krueger', '2'), ('1', 'Krueger', '2'), ('1', 'Krueger', '0'), ('1', 'Krueger', '2'), ('1', 'Krueger', '6'), ('1', 'Krueger', '2'), ('2', 'Krueger', '0'), ('2', 'Krueger', '2'), ('2', 'Krueger', '6'), ('2', 'Krueger', '2'), ('0', 'Krueger', '2'), ('0', 'Krueger', '6'), ('0', 'Krueger', '2'), ('2', 'Krueger', '6'), ('2', 'Krueger', '2'), ('6', 'Krueger', '2')]"
"s
c
[

1
v
0
2
0
0
0
.
","s
c
 
1
v
0
2
0
0
0","[('1', 'c', '0'), ('1', 'c', '2'), ('1', 'c', '0'), ('1', 'c', '0'), ('1', 'c', '0'), ('0', 'c', '2'), ('0', 'c', '0'), ('0', 'c', '0'), ('0', 'c', '0'), ('2', 'c', '0'), ('2', 'c', '0'), ('2', 'c', '0'), ('0', 'c', '0'), ('0', 'c', '0'), ('0', 'c', '0')]"
"3
0
1
2
:
v
i
X
r
a

Abstract

State-of-the-art computer vision systems are
trained to predict a ﬁxed set of predetermined
object categories.","3
0
1
2
 
v
i
X
r
a
Abstract
State of the art computer vision systems are
trained to predict a xed set of predetermined
object categories","[('3', 'trained', '0'), ('3', 'trained', '1'), ('3', 'trained', '2'), ('0', 'trained', '1'), ('0', 'trained', '2'), ('1', 'trained', '2')]"
"This restricted form of super-
vision limits their generality and usability since
additional labeled data is needed to specify any
other visual concept.","This restricted form of super 
vision limits their generality and usability since
additional labeled data is needed to specify any
other visual concept",[]
"Learning directly from raw
text about images is a promising alternative which
leverages a much broader source of supervision.
","Learning directly from raw
text about images is a promising alternative which
leverages a much broader source of supervision",[]
"We demonstrate that the simple pre-training task
of predicting which caption goes with which im-
age is an efﬁcient and scalable way to learn SOTA
image representations from scratch on a dataset
of 400 million (image, text) pairs collected from
the internet.","We demonstrate that the simple pre training task
of predicting which caption goes with which im 
age is an ef cient and scalable way to learn SOTA
image representations from scratch on a dataset
of 400 million image text pairs collected from
the internet",[]
